"key","en"
"cars.cars","Cars"
"cars.title","Title"
"cars.plate","Plate"
"cars.status","Status"
"cars.searchByCarNameOrPlate","Search by car name or plate"
"cars.allCarTypes","All car types"
"cars.anyWheels","Any Wheels"
"cars.allStatuses","All statuses"
"cars.standard","Standard"
"cars.suv","SUV"
"cars.van","VAN"
"cars.locked","Locked"
"cars.unlocked","Unlocked"
"cars.pending","Pending"
"cars.returned","Returned"
"cars.active","Active"
"cars.archived","Archived"
"cars.available","Available"
"cars.sorryThereIsNoCarsThatMatchesYourRequest","Sorry, there is no car that matches your request"
"cars.addNewCar","Add new car"
"cars.thereIsNoMoreCars","There are no more cars"
