"key","en"
"admin.info","Info"
"admin.dashboardImages","Dashboard Images"
"admin.invoice","Invoices"
"admin.carType","Car type"
"admin.new","New"
"admin.linkCar","Link a car"
"admin.pickUp","Pick-up"
"admin.dropOff","Drop-off"
"admin.close","Close"
"admin.getPaid","Get paid"
"admin.pickUpDate","Pick-up date"
"admin.pickUpTime","Pick-up time"
"admin.dropOffDate","Drop-off date"
"admin.dropOffTime","Drop-off time"
"admin.carsList","Car booked"
"admin.carCategory","Car type"
"admin.rentType","Rent type"
"admin.range","How far from home are you driving?"
"admin.comment","Comment"
"admin.additionalRequests","Do you need additional requests?"
"admin.pleaseLinkACar","Please link a car"
"admin.startTyping","Start typing..."
"admin.howFar","How far?"
"invoice.name","Item Name"
"invoice.unitPrice","Unit Price"
"invoice.unitNumber","Number Of Unit"
"invoice.totalPrice","Total Price"
