"key","en"
"admin.email","Email"
"admin.whatsApp","WhatsApp"
"admin.sms","SMS"
"admin.password","Password"
"admin.oldPassword","Old Password"
"admin.newPassword","New Password"
"admin.personalDetails","Personal Details"
"admin.prefix","Prefix*"
"admin.firstName","First Name"
"admin.lastName","Last Name"
"admin.phone","Phone"
"admin.email","Email"
"admin.repeatPassword","Repeat password"
"admin.myNotificationPreferences","My Notification Preferences"
"admin.emergencyContactPhone","Emergency contact phone"
"admin.whatsAppPhone","WhatsApp Phone"
"admin.address","Address"
"admin.state","State"
"admin.zip","ZIP"
"admin.cancel","Cancel"
"admin.saveCar","Save car"
"admin.login","Login"
"admin.logout","Logout"
"admin.yourDriverLicense","Your Driver License"
"admin.reservationSummary","Reservation Summary"
"admin.finishReservation","Finish reservation"
"admin.confirmNewPassword","Confirm New Password"
"admin.dashboard","Dashboard"
"admin.reservations","Reservations"
"admin.customers","Customers"
"admin.newCar","New Car"
"admin.cars","Cars"
"admin.title","Title"
"admin.vin","VIN"
"admin.plateNumber","Plate number"
"admin.specification","Specification"
"admin.make","Make"
"admin.wheels2Go","Wheels2Go"
"admin.insurance","Insurance"
"admin.invoices","Invoices"
"admin.coverage","Coverage"
"admin.policyNumber","Policy Number"
"admin.registration","Registration"
"admin.scanCopy","Scan copy"
"admin.expDate","Exp Date"
"admin.serviceInspection","Service Inspection"
"admin.lastInspectionDate","Last inspection date"
"admin.model","Model"
"admin.year","Year"
"admin.doors","Doors"
"admin.seats","Seats"
"admin.transmission","Transmission"
"admin.color","Color"
"admin.categoryId","CategoryId"
"admin.status","Status"
"admin.bodyType","Body Type"
"admin.fuelType","Fuel Type"
"admin.restorePassword","Restore password"
"admin.changePassword","Change password"
"admin.new","New"
"admin.approved","Approved"
"admin.upcoming","Upcoming"
"admin.active","Active"
"admin.past","Past"
"admin.rejected","Rejected"
"admin.cancelled","Cancelled"
"admin.id","Id"
"admin.customerName","Customer name"
"admin.pickUpTime","Pick-Up time"
"admin.carType","Car type"
"admin.createReservation","Create reservation"
"admin.searchByName","Search by name"
"admin.allCarTypes","All car types"
"admin.myAccount","My Account"
"admin.settings","Settings"
"admin.sorryThereIsNoReservationsThatMatchesYourRequest","Sorry there is no reservations that matches your request!"
"admin.policyNumbers","Policy number"
"admin.uploadScanCopyFile","Upload Scan Copy file"
"admin.generalInfo","General info"
"admin.generalInfo","General info"
"admin.allTimesRange","All times range"
"admin.newCarHasBeenSuccessfullyCreated","New car has been successfully created"
"admin.errorWithCarCreation","Error with car creation"
"admin.errorWithMediaCreation","Error with media creation"
"admin.mediaUploaded","Media uploaded"
"admin.thereIsNoMoreReservations","There is no more reservations"
"admin.name","Name"
"admin.contacts","Contacts"
"admin.lastInspectionDateMustBeEarlierThanNow","Last inspection date must be earlier than now!"
"admin.expirationDateMustBeLaterThanNow","Expiration date must be later than now!"
"admin.bookingOnThisCarAlreadyExists","Reservation with this car already exists on this time!"
"admin.reservationHistory","Reservation History"
"admin.maintenance","Maintenance"
"admin.changeLog","Change Log"
"admin.carLocation","Car Location"
"admin.carsInfo","Cars Info"
"admin.deviceKey","Device Key"
"admin.addDeviceKey","Add Device Key"
"admin.confirm","Confirm"
"admin.carPhoto","Car Photo"
"admin.sorryThereIsNoCustomersThatMatchesYourRequest","Sorry, there is no customers that matches your request"
"admin.thereIsNoMoreCustomers","There is no more customers"
"admin.addNewCustomer","Add new customer"
"admin.saveAndActivateCustomer","Save & Activate Customer"
"admin.mediaDeleted","Media deleted"
"admin.mediaWasRemoved","Media was removed"
"admin.lastInspectionDateMustBeLaterThanCarYear","The date of last inspection must be later then the car year"
