"key","en"
"exception.password_reset_link_is_broken","Password reset link is broken"
"exception.user_status_too_long","User status too long"
"exception.resource_type_is_wrong","Unacceptable resource type"
"exception.resource_is_too_large","Resource is too big"
"exception.resource_is_empty","Resource is empty"
"exception.user_about_is_too_long","User about is too long"
"exception.post_not_found.title","Post not found"
"exception.post_not_found.message","Seems like post was deleted by its author or never existed"
"exception.no_access_to_delete.title","Can't delete post"
"exception.no_access_to_delete.message","Seems like you have not rights to delete this post"
"exception.post_is_too_long","Post is too long"
