"key","en"
"ui-kit.messaging","Messaging"
"ui-kit.year","{{count}} year ago"
"ui-kit.year_plural","{{count}} years ago"
"ui-kit.month","{{count}} month ago"
"ui-kit.month_plural","{{count}} months ago"
"ui-kit.week","{{count}} week ago"
"ui-kit.week_plural","{{count}} weeks ago"
"ui-kit.day","{{count}} day ago"
"ui-kit.day_plural","{{count}} days ago"
"ui-kit.hour","{{count}} hour ago"
"ui-kit.hour_plural","{{count}} hours ago"
"ui-kit.minute","{{count}} minute ago"
"ui-kit.minute_plural","{{count}} minutes ago"
"ui-kit.less_than_a_minute_ago","Less than a minute ago"
"ui-kit.required_field","This field is required!"
"ui-kit.accept_terms","Must Accept Terms and Conditions"
"ui-kit.not_valid_email","Not valid email!"
"ui-kit.password_min_length","Your password should have at least {{length}} symbols"
"ui-kit.required_one_letter_digit_special_character","Password should contain at least 1 letter, one digit and one special character"
"ui-kit.required_one_letter","Password should contain at least 1 letter"
"ui-kit.required_one_capital_letter","Password should contain one capital letter"
"ui-kit.required_one_special_character","Password should contain one special character"
"ui-kit.passwords_doesnt_match","Passwords do not match"
"ui-kit.your_gateway_to_digital_assets","Your gateway to digital assets"
"ui-kit.followers","Followers"
"ui-kit.contacts","Contacts"
"ui-kit.edit","Edit"
"ui-kit.jan","Jan"
"ui-kit.feb","Feb"
"ui-kit.mar","Mar"
"ui-kit.apr","Apr"
"ui-kit.may","May"
"ui-kit.jun","Jun"
"ui-kit.jul","Jul"
"ui-kit.aug","Aug"
"ui-kit.sep","Sep"
"ui-kit.oct","Oct"
"ui-kit.nov","Nov"
"ui-kit.dec","Dec"
"ui-kit.about_us","About Us"
"ui-kit.cookies","Cookies"
"ui-kit.press","Press"
"ui-kit.join_us_support","Join Us Support"
"ui-kit.language","Language"
"ui-kit.privacy_and_term_of_use","Privacy & Term of Use"
"ui-kit.user_agreement","User Agreement"
"ui-kit.under_accepted_age","You can register only if you 18+"
"ui-kit.edit_status","Edit Status"
"ui-kit.edit_background","Edit Background Image"
"ui-kit.edit_avatar","Edit Avatar"
"ui-kit.type-status","Type Status"
"ui-kit.none","None"
"ui-kit.save","Save"
"ui-kit.cancel","Cancel"
"ui-kit.update","Update"
"ui-kit.invalid-twitter-link","Invalid twitter link. Example www.twitter.com/example"
"ui-kit.invalid-linked-in-link","Invalid linked in link. Example www.linkedin.com/in/example"
"ui-kit.invalid-facebook-link","Invalid facebook link. Example www.facebook.com/example"
"ui-kit.phone-should-be-numeric","Phone number should contain only numbers"
"ui-kit.add-status","Add Status"
"ui-kit.avatar-preview","Preview"
"ui-kit.drop-files","Drop the files"
"ui-kit.drag-n-drop-files-text","Upload from photo library"
"ui-kit.drag-n-drop-files","Choose files"
"ui-kit.max-size","Max {{size}}"
"ui-kit.value-is-too-long","Field should contain max {{length}} characters"
"ui-kit.value-is-too-long-1s","Field should contain max {{length}} character"
"ui-kit.value-is-too-short","Value is too short. Min length is {{length}}"
"ui-kit.you-can-use-only-digits-in-this-field","You can use only digits in this field"
"ui-kit.max_size_reached","Max size reached"
"ui-kit.max_size_of_post_is","Max size of post is {{count}} characters"
"ui-kit.mutual_contacts","{{count}} mutual contact"
"ui-kit.mutual_contacts_plural","{{count}} mutual contacts"
"ui-kit.file_is_too_big","File is too big"
"ui-kit.file_max_size_is","File max size is {{size}}"
"ui-kit.max-amount-of-tags","Max amount of tags is {{amount}}"
"ui-kit.max-tag-length","Max length of tag body is {{length}}"
"ui-kit.tag-allowed-symbols","Tag body can contain only letters and digits"
"ui-kit.value_should_be_a_valid_number","Value should be a valid number. Example 12345"
"ui-kit.date_is_invalid","Date is invalid"
"ui-kit.date_should_be_bigger_than","Value should be bigger than {{name}}"
"ui-kit.email_max_length","Email is too long. Max length is {{length}}"
"ui-kit.file","File"
"ui-kit.upload","Upload"
"ui-kit.card-number","Card Number"
"ui-kit.expiration-date","Expire Date"
"ui-kit.cvc","cvc"
"ui-kit.drag-and-drop-files-here-or-upload","Drag and drop files here or upload"
"ui-kit.saveCar","Save Car"
